S.N.,Partner Type,Partner Name,Partner Name ID
1,Commercial Bank and Other Partners,Agricultural Development Bank Limited,1
2,Commercial Bank and Other Partners,Bank of Kathmandu Limited,2
3,Microfinance Institutions/Cooperatives,Chhimek Laghubitta,3
4,Commercial Bank and Other Partners,Citizens Bank International Limited,4
5,Commercial Bank and Other Partners,D' Rose Technologies Pvt. Ltd.,5
6,Commercial Bank and Other Partners,eSewa Fonepay Pvt. Ltd.,6
7,Commercial Bank and Other Partners,Everest Bank Limited,7
8,Commercial Bank and Other Partners,F1Soft International Pvt. Ltd.,8
9,Commercial Bank and Other Partners,Global IME Bank Limited,9
10,Commercial Bank and Other Partners,Himalayan Bank Limited,10
11,Commercial Bank and Other Partners,IME Digital Solution Limited,11
12,Commercial Bank and Other Partners,Janata Bank Limited,12
13,Microfinance Institutions/Cooperatives,Janautthan Samudayik Laghubitta,13
14,Commercial Bank and Other Partners,Kanchan Development Bank Limited,14
15,Microfinance Institutions/Cooperatives,Kisan Cooperative,15
16,Microfinance Institutions/Cooperatives,Kisan Microfinance,16
17,Commercial Bank and Other Partners,Laxmi Bank Limited,17
18,Microfinance Institutions/Cooperatives,Laxmi Laghubitta Bittiya Sanstha Ltd.,18
19,Commercial Bank and Other Partners,Machhapuchhre Bank Ltd,19
20,Microfinance Institutions/Cooperatives,Mahila Sahayatra Laghubitta,20
21,Commercial Bank and Other Partners,Mega Bank Ltd,21
22,Commercial Bank and Other Partners,Nabil Bank Ltd.,22
23,Microfinance Institutions/Cooperatives,NEFSCUN (Nepal Federation of Savings and Credit Cooperative Unions Ltd.),23
24,Commercial Bank and Other Partners,Nepal Bank Limited,24
25,Commercial Bank and Other Partners,Nepal Clearing House Ltd.,25
26,Microfinance Institutions/Cooperatives,Nepal Insurer's Association,26
27,Commercial Bank and Other Partners,Nepal Investment Bank Limited,27
28,Microfinance Institutions/Cooperatives,Nepal Microfinance Bankers' Association,28
29,Microfinance Institutions/Cooperatives,Nepal Women Community Service Centre (NWCSC),29
30,Microfinance Institutions/Cooperatives,Nerude Laghubitta,30
31,Commercial Bank and Other Partners,NIC Asia Bank Limited,31
32,Microfinance Institutions/Cooperatives,Nirdhan Utthan Laghubitta,32
33,Commercial Bank and Other Partners,NMB Bank Ltd,33
34,Microfinance Institutions/Cooperatives,NMB Laghubitta,34
35,Commercial Bank and Other Partners,Prabhu Bank Limited,35
36,Commercial Bank and Other Partners,Rastriya Banijya Bank Limited,36
37,Microfinance Institutions/Cooperatives,RMDC Laghubitta Bittiya Sanstha Limited,37
38,Microfinance Institutions/Cooperatives,Sahara Nepal Cooperative,38
39,Microfinance Institutions/Cooperatives,Sana Kisan Bikas Laghubitta,39
40,Commercial Bank and Other Partners,Sanima Bank Limited,40
41,Microfinance Institutions/Cooperatives,Shikhar Insurance Company Limited,41
42,Commercial Bank and Other Partners,Siddhartha Bank Ltd,42
43,Commercial Bank and Other Partners,Stonestep TFD Private Limited,43
44,Microfinance Institutions/Cooperatives,Unique Nepal Laghubitta,44
45,Microfinance Institutions/Cooperatives,Vijaya Laghubitta Bittiya Sanstha Ltd,45
46,Microfinance Institutions/Cooperatives,Mahila Samudayik Laghubitta,46
